,spotid,spotname
90875,1821,Le Pain Quotidien
90881,2334,Starbucks
90884,177,Boomerang Toys
90899,2183,New Cosmic Cafe
90903,472,Pad Thai Noodle Lounge
90909,1299,Flight 151
90920,2303,Nooch
90938,2209,TSI
90941,2096,Panya
90943,2153,Guess
90945,1326,Guess By Marciano
90946,723,Forecast
90947,1261,Othello's Deli
90948,1348,Bio
90952,1096,Bodhi Tree
90954,955,Lounge Theresa
90956,1412,Gamespot
90965,505,Firefly
90971,532,UNICEF
91091,2216,American Girl Store
91110,1445,SD26
91118,180,The Incubator at RTV
91122,1525,Ooki Sushi
91130,260,Bvlgari
91134,1097,Gospel Uptown
91170,150,The Edge Bar
91200,1647,Life Cafe
91292,1872,Mitsuwa Marketplace
91315,251,Deitch Projects
91326,1378,D'Espresso
91401,461,Redwood Hall
91409,480,Kupfrian Hall
91434,467,Cullumore Hall
91448,1115,Vig Bar
91461,2316,Fat Black Pussycat
91568,770,Super Taste
91592,1736,New York Transit Museum
91625,783,Joe's Superette
91633,785,G. Esposito & Sons
91639,2318,Against The Grain
91690,2372,The Habitat
91718,958,Green-Wood Cemetery
91759,1270,Commonwealth
91768,1574,Big Bar
91781,1151,MET Foods
91798,2363,Porto Rico Importing Co.
91840,1915,Piper's Kilt
92030,1932,Venda
92046,2185,Ba Xuyên
92206,1156,Starbucks
92236,1048,Staten Island Mall
92238,1089,The Crossings
92260,346,Mess
92272,684,O'keefes
92277,810,Old Carriage House
92303,2453,Sterling Grapes & Grains
92329,81,The Blackwell House
92391,1399,Bánh Mì Saigon
92415,1343,Harmony Playground
92421,1672,Gowanus Canal
92524,1985,CVS Pharmacy
92587,2148,Bliss Cafe
92671,2493,The Gold Bar
92898,1946,NYC Veterinary Specialists
92906,1294,Golden Theatre
93034,1919,Church Avenue Station
93075,2154,Thái Son Vietnamese Restaurant
93084,147,Muhlenberg Branch of NY Public Library
93093,489,Garden Of Eden
93098,447,Bluestockings
93103,144,Chocolate Factory
93104,123,Metro Pictures
93106,122,CRG Gallery
93107,121,Friedrich Petzel Gallery
93121,362,Locale
93126,925,Cubby Hole
93169,831,Amsterdam Cafe
93175,1731,Chinese Mirch
93179,2346,Rice
93196,1559,Tease
93216,2021,Sunrise Bakery
93221,1760,Daily Soup
93224,1717,Choice Bar - Murry Hill
93237,1536,The Globe
93241,162,Game Stop
93268,705,The Palm
93274,2056,Boxcar Lounge
93392,2233,Sammy's Noodle Shop
93408,2195,Wombat
93537,1981,Amish Market
93568,1689,Hummus Kitchen
93579,2267,Bagel&bean
93608,2000,Divine Bar
93708,380,Chipotle
93714,930,Don Giovanni Restaurant
93789,2496,Karaoke One7
93811,1890,Pita Pan
93893,403,Cuba Cafe
93925,1894,Kingswood
93936,1585,Bar Blanc Bistro
93944,1858,Josephina
94024,2099,Li-Lac Chocolates
94025,2253,Peter Dillon's
94083,2177,Broadway & 64th Parking
94108,1793,International House Of Pancakes
94112,2398,Fiddlesticks
94150,1427,Gourmet 53
94159,209,Murphy's Pub
94308,745,Sit and Wonder
94327,2397,Bombay Masala
94386,2437,Mahayana Buddist Temple
94406,1874,JAM Paper & Envelope
94415,833,"MTA Kings Hwy [B,Q]"
94419,153,Colador Cafe
94422,213,Hunan Delight
94438,1444,Sweet Afton
94443,2408,Parnell's
94491,1003,d.b.a. Brooklyn
94587,1676,Henry Ward Beecher
94607,1419,Brooklyn Borough Hall Green Market
94641,414,Clinton Food Market
94660,2248,Emmett O'Lunney's Irish Pub
94667,968,Sean
94669,1684,Once Upon A Tart
94683,869,Macao Trading Co.
94692,1449,Snack Dragon
94802,1888,Aqua Grill
94918,2053,Panchito's Mexican Restaraunt
94949,2420,SecondMarket
95003,1952,Lakeside Lounge
95075,2203,Vinnie's Pizzeria
95082,1298,Bar Reis
95124,2498,Norry
95214,1923,Fatty Crab
95240,2103,Five Points
95268,1942,Alidoro
95306,1732,Copper Chimney
95423,592,Myers Of Keswick
95426,1610,TD Bank
95431,1892,The Embankment
95457,1329,Jersey Wines & Spirits
95536,687,Forest Hills
95540,819,Ferdinando's Focacceria
95578,1584,Sparrow Tavern
95581,64,Flagpole Hill
95584,66,Ellis Island Gift Shop
95588,67,Statue of Liberty Photo Spot
95590,62,Ellis Island Restaurant
95592,859,Fort Hamilton Park
95648,887,Millennium UN Plaza Hotel
95728,2367,Harvest HQ
95750,1400,Antojitos Mexicanos Tia Julia
95796,528,Anapoli
95823,2167,Imperial Theater
95834,1411,Bernard B. Jacobs Theatre
95841,2373,The Williams Club
95843,719,Bounce U
95862,2305,Colony Records
95936,1394,York College
95959,1639,"MTA Hoyt St [2,3]"
96008,1251,Little Pie Company
96048,1679,Morgan Stanley
96054,1149,Synergy
96061,1288,Welcome To India
96160,376,Starbucks Coffee
96251,2206,Riverdale Metro-North Station
96273,2465,Yola's Cafe
96360,2457,Black & White
96386,1977,Reproductions
96401,1887,West Side Diner
96406,2070,Chelsea Studios
96461,1818,Holiday Inn
96495,2306,Union Bar
96503,824,Queens College CUNY
96540,1755,Vespa
96557,2383,Famous Dave's BBQ
96594,478,BN.com (Barnes & Noble)
96686,1415,El Almacen
96742,1862,Abilene
96779,291,DPSTYLES House of Satisfaction
96810,996,Olive Garden
96817,2374,Mars 2112
96848,1865,Cafe Henri
96857,924,Cafe Lucienne
96921,1359,Our Lady Of Pompei
96930,2107,Philip Marie
97148,2396,Jodi Arnold Boutique
97207,2043,Mint
97395,1572,Dramatics
97405,2435,Canteen Delicatessen and Cafe
97436,2015,Harry's Cafe & Steak
97455,2375,Cha-An
97579,2353,Duane Reade
97607,516,Subway
97619,1720,Mercury Bar
97625,967,Remi
97627,1098,Le Bernandin
97628,519,Lowenstein Sandler
97639,2276,Financier Patisserie
97656,843,Europa Cafe
97684,759,Kings Plaza
97686,2361,Inwood Station Post Office
97690,1912,Carrot Top Pastries
97694,584,Dunkin' Donuts 
97701,594,Tea And Sympathy
97704,2001,Grandpa's Brick Oven pizza
97705,1916,Ray's Barber Shop
97737,1029,McDonald's
97791,821,Damascus Bread & Pastry Shop
97822,1857,Archive Café
97828,2192,Nectar
97835,2414,Starbucks Coffee
97875,1538,Cubana Cafe
97921,1408,Northeast Kingdom
97924,1024,King's Cross
97950,2121,Midnight Express
98028,1856,Dunkin' Donuts
98096,1467,Anatolian Gyro
98103,1437,"MTA Sheepshead Bay [B,Q]"
98104,2382,Pathmark
98114,2156,Bay Terrace Mall
98127,2135,Grand Harmony
98138,815,Subway
98154,816,Cucina E Vino Petrarca
98308,1519,Holy Basil
98454,1157,Panera Bread
98500,609,Dusk
98577,1456,Blue Sky Bakery
98581,2242,Black Mountain Wine House
98672,956,Legion
98685,1854,Clandestino
98693,2391,Jadis
98849,1941,Taze
98935,368,White On White
99141,1632,T Thai
99232,744,The Arch Diner
99239,1928,Avrohom's House
99245,1510,P.J. Hanley's Tavern
99472,2472,Church
99503,2411,Bleecker
99557,2412,Citi Bank
99559,2413,Dunkin' Dounts
99580,65,Wall of Honor
99581,68,Manhattan Skyline
99789,1885,Subway
99794,1882,Roy Wilkins Park
99829,2019,Jcpenny
99846,1466,Atlas Gas Station
99862,1968,Dmv
99867,1369,Aqueduct Flea Market
99871,1884,Lorna's Restaurant
99872,1881,Laten's Place
99893,2402,Crib
99917,678,Avalon At Edgewater
100088,2478,Tangra
100333,836,Marine Park
100350,946,La Strada Pizza
100356,999,Kai Feng Fu Dumpling House
100400,530,Maimonides Medical Center
100459,1383,68 Restaurant
100483,1509,South Brooklyn Pizza
100515,1167,Staten Island Zoo
100522,730,Outerbridge Crossing
100604,352,Qdoba Mexican Grill
100663,771,Dusty Pages
100675,1514,Greenbelt
100676,703,Island Coffee Shop
100691,1439,Rite Aid Pharmacy
100712,2149,PETCO
100722,1438,Citibank
100959,2032,The Alex Hotel
101043,1322,TD Bank
101087,1842,Zara
101145,1677,Korean War Veteran's Plaza
101149,1678,Brooklyn World War II Memorial
101202,847,Mike's Papaya
101299,1911,Pukk
101306,2499,Darkroom
101335,1283,Forever 21
101434,2113,Sheepshead Bay Stadium 14 & IMAX
101491,1624,Park Slope Food Coop
101497,1404,Rose Water
101505,392,Ben & Jerry's
101510,353,McCormick & Schmick's
101541,1568,Garry's Wine And Liqour
101674,683,Whole Foods
101763,989,BBH Labs
101875,313,Ruth's Chris Steakhouse
101882,1634,New Market Diner
101931,1837,Jaya
101933,1105,Joe's Shanghai
101979,2091,Celsius at Bryant Park
101982,710,Starbucks
102042,2332,Gateway Plaza
102100,2157,Barnes & Noble Bookstore
102118,2105,BKNY Thai Restaurant
102123,1103,La Paella
102124,240,Good Records NYC
102205,1831,La Conguita
102219,1989,Waldo Lofts
102236,1325,Van Vorst Park Dog Run
102357,502,9th St/Congress St Light Rail
102365,696,Cafe Bueno
102509,1426,Métrazur
102557,1233,Pet Central
102559,1830,Theatreworks
102560,2143,Reed Space
102561,2141,Chari & Co
102580,2042,Henry Miller Theater
102609,2038,Laura Pels Theatre
102657,1914,Slice
102661,950,New York Sports Club on Mercer
102665,2239,Napoli Pizza & Pasta
102669,99,Sunswick
102695,2450,295 Madison Avenue
102760,1906,Mustang Sally's
102762,1059,Digital Arts
102769,1738,Christopher Columbus Sculpture
102799,1846,Sal's Pizzeria
102800,1152,Krolewskie Jadlo
102809,2281,Sun Cafe Japanese Cuisine
102896,786,Caputo's Fine Foods
102923,1534,The Gibson
102959,2095,Tandem
102972,2084,Angelo's Pizza
102989,1060,Topaz Thai Restaraunt
103004,711,Bendix Diner
103085,2047,Tanti Baci Cafe
103131,1751,Otafuku
103149,1339,San Loco
103157,1044,Great N.Y. Noodletown
103160,913,Chinatown Fair Video Arcade
103250,2475,The Gym
103308,1962,Avis JFK
103336,1546,Peter Pan Donut & Pastry Shop
103397,2388,Mama's Empanadas
103457,1147,Press 195
103682,650,40 Clinton
103686,2436,Adagio Teas
103713,314,Momoya
103780,855,Sunrise Bagels
103809,858,Watchung Ave Station
103836,856,Watching Plaza
103849,1829,Ishi
103942,1030,Best Buy Liquor
103963,2081,Pacificana
104011,541,Scottadito Osteria Toscana
104016,2188,Hinch's Soda Shop
104019,937,Urban Optical
104021,811,Rice Thai Kitchen
104022,920,Saint Saviour Roman Catholic Church
104023,919,Park Slope Pharmacy
104029,693,Fonda
104054,1758,Coppermine Pub
104096,1718,Pinisi Cafe & Bakery
104277,1810,Green Grill Ridizio
104361,2474,XpresSpa Terminal 5
104382,2238,Annam Brahma Restaurant
104420,1936,Crisp Wireless
104484,316,Arepas Cafe
104503,2155,Forest Hill LIRR Station
104515,2136,Bagel Hole
104534,1522,Lucas Steakhouse
104646,1802,Vintage Cellars
104685,2119,Northern Soul
104713,820,Sahadi Importing Co.
104742,2200,Pizza Grill
104812,893,Pathmark
104900,1316,Greenmarket
104934,2322,Mojo
104956,830,Fushimi
104967,1969,103 Precinct
105025,1547,Dunkin' Donuts
105046,2387,Sound Fix
105074,1987,IHOP
105137,1695,The Village Gourmet
105171,1387,Hudson Bar and Books
105196,1361,10 Downing
105238,181,Dixon Mills
105390,1168,Tacos Matamoros
105394,2360,Manhattan Criminal Court
105430,2182,Yun Nan Flavour Snack
105442,1616,Target
105469,2240,Tramonti
105480,104,Boat
105496,758,Toys R Us
105497,1391,Sheepshead Playground
105500,2064,Belt Pkwy
105501,1529,Gourmet Boutique
105565,1386,A&P Fresh
105594,914,Bank Of America
105704,443,Five Guys Burgers and Fries
105851,1161,ShopRite
105914,2467,Applebee's
105943,1927,Park Bar
105948,1164,Denny's Sandwiches
106022,1905,Ogilvy Public Relations
106067,713,Outback Steakhouse
106129,2485,O'Flaherty's
106193,945,Johnny's Pizza
106202,2480,Kasadela
106208,1172,Tacos Xochimilco
106216,1629,Le Relais de Venise L'Entrecôte
106241,1101,The Spot To Be
106289,2425,Court Street Station
106315,1235,Bruckner Bar & Grill
106402,1129,Café Orwell
106436,1280,Pat Fersch Family Law Center
106438,1269,San Loco
106451,2366,Green Depot
106482,1493,Buttermilk Bar
106543,1607,Bocca Lupo
106581,2211,NY Arts Magazine
106617,2048,Port-o Lounge
106692,2112,Sakagura
106695,2464,Cubbys
106880,2017,Scotty's 
106887,390,A&P
106914,1979,Oasis Spa
106942,704,Egger's Ice Cream Shoppe
106944,1009,Redroom
106948,1303,Druken Monkey
106990,1512,Marathon Bank
106993,868,86 Noodles
107033,1262,Rhythm & Booze
107036,1853,Tim's Apartment
107039,1957,Mas Farmhouse
107067,2292,Shecky's Office
107097,1843,Brooklyn Flipster's
107098,1114,Fish Bar
107208,1690,Research Foundation of CUNY
107275,1170,SI Museum
107330,160,L.I.C.
107359,1827,Ladybird Bakery
107374,1570,MTA Bergen St [3]
107407,749,Dunkin' Donuts
107437,2234,Mercat
107438,988,Poke NY
107449,2130,Alife
107468,2390,White Castle
107533,550,Dunkin' Donuts
107795,1486,Park Audio
107886,1698,VP Records/Riddim Driven Clothing
107887,2352,Subway
107893,1880,Port Royal Jamaican Restaurant
107912,1137,Bella Napoli
108000,1956,ShopRite
108024,828,Rags-A-GoGo
108031,2410,BP
108033,692,World Of Pets
108036,1473,Starbucks (514 86th)
108037,1757,Luigi's Pizza
108038,709,Bunch Of Bagels
108040,1480,Areo
108042,556,Casa Calamari
108043,1566,Carvel
108048,817,Century 21
108057,1163,Quarter
108102,1179,Brooklyn's Pizza
108199,325,Brown Brothers Harriman
108203,2427,Exchange Place Nj
108220,1799,Jake's Saloon
108221,916,The UPS Store
108304,1573,Avalon Salon & Spa
108322,2101,Duane Reade
108383,1153,Staten Island Lighthouse
108388,2079,Toasties
108439,844,Dunkin' Donuts
108450,421,Noble Discount Liquors
108456,682,Flaming Burritos Mexican Grill
108476,845,Capital One Bank
108548,2423,Lassen & Hennings
108551,2144,Self Edge
108553,689,88 Palace
108573,2022,Suite 707
108616,1687,Ichi Masa
108635,1201,Pediatrician
108710,2483,First Edition
108730,717,Legal Seafood
109017,2173,HANAC
109073,1285,Blockbuster 
109077,1284,Dunkin' Donuts
109145,1032,Caputo's Bake Shop
109169,714,Stinky Brooklyn
109174,1406,Smith & Vine
109179,178,The Performing Garage
109192,2389,Broadway Bakery
109248,2212,Taco Bell
109324,1309,Montclair Art Museum
109341,1469,36th Avenue Station
109363,1035,Medieval Times
109371,1524,Platinum Fitness
109378,546,Franklin Steakhouse
109386,582,Great Lakes
109392,2127,Taco Express Inc
109465,2369,The 22 Club
109469,1685,Pablo Neruda Academy
109634,2344,Hing Won
109641,2046,Singas Famous Pizza
109739,1562,Fernandes Steak House
109803,787,Bluestone Coffee Co.
109979,1548,Pet Boutique and Supplies
109981,2125,Chase
109991,2245,May's Place
110011,1227,McDonald's
110012,625,PS 102
110064,2158,Chao Thai
110075,2139,aNYthing
110093,2166,Home
110107,2424,St. Mark's Comics
110121,2059,Malibu Diner
110214,1852,Lucy's
110244,1402,Taqueria Coatzingo
110302,344,Friendlys
110398,348,McDonald's
110399,540,Target
110455,2298,Jamba Juice
110481,125,Tommy Hilfiger
110625,1169,Borough Hall
110691,1662,Hoyt Street Market And Deli
110713,746,Home Sweet Home
110714,1618,The Home Depot
110728,535,3 in 1 Pizza & Ice Cream
110733,1028,J&J
110736,874,Food World
110738,872,Getty
110739,839,Hess
110740,838,Rite Aid
110741,837,Dunkin' Donuts
110742,835,Marine Park JHS
110744,539,Fort Hamilton Presbyterian Church 
110745,814,Brooklyn Bagels
110747,538,Sensory Freeway
110749,800,Party City
110751,761,St. Columba
110753,760,Pizza Emporium
110755,748,Blockbuster Video
110757,747,CVS
110759,2244,3 in 1 Kitchen
110761,1286,King & Queen Deli
110762,1027,Flatlands Ave 108street
110763,952,McDonald's
110764,823,Rite Aid Pharmacy
110765,772,Moms House
110766,750,RadioShack
111053,2120,Submercer
111085,2178,Cakes 'N Shapes
111087,2304,Azuri
111116,2460,Leng Thai
111156,1078,The Pleasure Dome
111158,1158,James
111204,1350,Bond No. 9 NYC
111258,2039,Fontana Famous Pizza & Gyro
111259,1636,Sala
111262,2030,Picnic Garden
111263,1869,Assi Plaza
111276,728,T.G.I. Friday's
111277,1175,Alice Austen House
111290,1015,Terrazza Restaurant
111291,283,Rick's
111292,545,Dunkin' Donuts
111481,2145,Sephora
111538,1180,Trader Joe's
111620,1487,365gay.com
111641,1675,Monteleone's Bakery
111642,2011,Marco Polo Restaurant
111650,1775,House Of Pizza And Calzones
111690,2490,La Flor Bakery
111812,2190,Dunkin' Donuts
111933,1282,numero28
111934,2327,Racoon Lodge
112085,2016,Pan American Hotel
112105,2273,Office
112160,2406,Gristedes
112240,2094,Provini
112279,1692,Da Marino
112345,2445,Ole's
112369,1073,The Green Cow Brick Oven Pizza and Catering Company
112372,1364,NYU: Jerome S. Coles Sports And Recreation Center
112377,363,Montclair Bread Company
112378,1311,The London Food Company
112380,1308,Montclair High School
112383,474,Watchung Booksellers
112384,857,#66 bus To NYC
112388,174,Counter
